worktime,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PT,EL	26.1 	27.2 	26.0 	26.9 	29.4 	21.4 	27.3 	27.0 	27.9 	28.2 	30.3 	: 
PT,ES	12.5 	14.6 	22.2 b	21.1 	19.3 	19.0 	21.2 	18.7 	22.9 	27.1 	24.3 	: 
PT,EU27	11.5 e	12.1 	12.8 	12.9 	12.5 	13.5 	13.7 	14.7 	15.7 	15.3 	15.8 	: 
PT,EU28	: 	: 	: 	: 	12.5 e	13.5 	13.8 	14.7 	15.7 	15.3 	15.8 	: 
PT,FI	10.1 	14.8 	14.2 	10.0 	6.7 	6.5 	9.3 	10.6 	8.5 	9.0 	6.4 	: 
PT,FR	10.1 	10.9 	10.5 b	11.2 	11.2 	13.7 	13.0 	13.1 	13.3 	13.2 	13.5 	: 
PT,HR	: 	: 	: 	: 	18.5 u	25.8 	19.7 	26.2 	9.9 	20.4 	15.9 	: 
PT,HU	14.6 	16.7 	16.3 	21.8 	14.0 	16.8 	15.8 	17.9 	20.1 	18.2 	22.0 	: 
PT,IE	10.7 	11.3 	11.6 	8.8 	6.5 	10.2 	10.2 	8.7 	10.7 	9.7 	9.5 	: 
PT,IS	7.0 	6.4 	7.3 	8.9 	6.7 	5.6 	6.2 	9.7 	7.6 	8.5 	8.2 p	: 
PT,IT	12.9 	14.6 	13.7 	14.5 	14.5 	18.6 	18.0 	19.2 	17.4 	18.5 	19.9 	: 
PT,LT	25.3 	28.2 	22.5 	24.5 	22.3 	21.7 	26.2 	24.7 	24.2 	28.1 	29.2 	: 
PT,LU	14.3 	10.2 	13.3 	11.9 	12.4 	12.3 	12.9 	14.0 	14.8 	16.5 	17.6 b	: 
PT,LV	25.7 	23.8 	24.2 	26.0 	23.6 	25.1 	23.1 	20.5 	18.7 	18.4 	23.3 	24.4 
PT,MK	: 	: 	: 	: 	: 	: 	32.0 	24.3 	31.6 	25.7 	24.7 	: 
PT,MT	9.0 	8.7 	7.1 	9.3 	8.6 	13.2 	12.8 	12.1 	12.7 	14.9 	13.8 	: 
PT,NL	5.0 	4.3 	4.6 	5.3 	4.5 	5.4 	4.5 	4.5 	5.1 	4.5 	5.0 b	: 
PT,NO	7.6 	6.0 	5.7 	7.5 	8.5 	7.1 	7.0 	7.9 	9.3 	8.9 	10.6 	: 
PT,PL	22.7 	19.5 	19.9 	19.9 	20.6 	17.7 	18.1 	20.2 	17.1 	18.3 	20.4 	: 
PT,PT	28.9 	27.8 	27.8 	33.0 	32.7 	28.3 	23.4 	28.0 	31.1 	29.5 	30.2 	: 
PT,RO	: 	55.6 	58.4 	56.5 	53.0 	59.5 	59.6 	58.5 	63.5 	59.4 	64.7 	60.9 p
PT,RS	: 	: 	: 	: 	: 	: 	: 	35.6 	37.0 	44.1 	33.3 	: 
PT,SE	8.8 	7.4 	8.6 b	9.3 	10.6 	12.9 	10.8 	12.0 	10.8 	11.1 	10.3 	: 
PT,SI	7.4 	10.8 	8.1 	7.2 	7.4 	10.7 	10.2 	13.4 	13.0 	14.6 	15.6 	: 
PT,SK	9.6 	10.0 	10.9 	10.8 	11.6 	18.1 	16.4 	17.8 	11.4 	19.0 	15.4 	: 
PT,TR	30.9 	30.6 	32.4 	33.9 	28.6 	23.8 	23.5 	20.9 	19.8 	17.8 	: 	: 
PT,UK	12.6 	12.0 	11.9 	11.9 	11.4 	12.3 	14.3 b	13.6 	16.1 	13.0 	14.1 	: 
